US OPEN DATA POLICY COMPARISON ,"Washington, D.C.","Portland, OR","Memphis, TN","San Francisco, CA","Cook County, IL","Lexington-Fayette County, KY","Austin, TX","Raleigh, NC","New York City, NY","Providence, RI","Philadelphia, PA","Montgomery County, MD","Chicago, IL","Madison, WI",Utah,New York,Hawaii,"Tulsa, OK",New Hampshire,"South Bend, IN","Louisville/Jefferson County metro government, KY ","Oakland, CA","West Sacremento, CA"
Regional Relationship ,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,The Transparency Advisory Board created by the state to create recommendations concerning making public information more accessible online includes one member to represent county interests and one to represent municpal interests. In addition the policy indicates the review of certain kinds of local agency financial data for review for publication. ,"It cites an ""Opportunity for Localities to Participate. Localities are invited and are encouraged to submit data to the Open Data Website for publication in accordance with guidelines set forth in the Open Data Handbook.  ITS shall assist localities so they may use the Open Data Website.  Such assistance shall include but not be limited to technical assistance and expertise and accommodations shall be made for variations among local governments’ capacity and equipment.""",n/a,n/a,n/a,n/a,n/a,n/a,n/a
Sunlight Foundation Blogpost?,n/a,n/a,n/a,http://sunlightfoundation.com/blog/2013/04/25/open-data-policy-evolution-san-francisco/,n/a,n/a,n/a,n/a,http://sunlightfoundation.com/blog/2013/10/11/nycs-plan-to-release-all-ish-of-their-data/,n/a,n/a,http://sunlightfoundation.com/blog/2012/12/04/montgomery-countys-new-open-data-bill/,n/a,n/a,http://sunlightfoundation.com/blog/2013/03/13/a-look-at-utahs-future-in-open-data/,n/a,http://sunlightfoundation.com/blog/2013/07/03/aloha-hawaii-open-data-legislation/,n/a,n/a,http://sunlightfoundation.com/blog/2013/08/29/south-bend-indiana-signs-open-data-policy/,http://sunlightfoundation.com/blog/2013/10/21/new-louisville-open-data-policy-insists-open-by-default-is-the-future/,http://sunlightfoundation.com/blog/2013/10/29/oaklands-public-participation-route-to-open-data-legislation/,n/a
Gov Portal / Website ,http://data.dc.gov/,http://www.civicapps.org/datasets,http://www.cityofmemphis.org/TransExecutiveOrder.html,http://data.sfgov.org/,http://cookcounty.socrata.com,http://data.lexingtonky.gov/,https://data.austintexas.gov/,http://data.raleighnc.gov,http://www.opendatanyc.com,https://data.providenceri.gov/,see Below,https://data.montgomerycountymd.gov/,http://data.cityofchicago.org,https://data.cityofmadison.com/,http://www.utah.gov/open/,https://data.ny.gov/,http://data.hawaii.gov,n/a,http://nhopengov.org/,https://data.southbendin.gov/,http://portal.louisvilleky.gov/service/data,http://data.oaklandnet.com,n/a
Community Portal ,http://www.opendatadc.org/,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://www.opendataphilly.org/,n/a,n/a,n/a,n/a,n/a,http://hawaiiopendata.com/,n/a,n/a,n/a,n/a,http://data.openoakland.org/,n/a
DEFINITIONS,,,,,,,,,,,,,,,,,,,,,,,
"""Data"" ","The only overarching definition is ""data that the District staff can access on the intranet.""",n/a,"The EO refers to specific kinds of information including ""commonly used city forms and documents"" ""important city information"" certain employee data  ""notification of all contracts executed by the Mayor and a list of all city contractors and all city properties sold or purchased. In addition the following data is defined as available upon request: total bonded debt pension fund and the city charter.",n/a,n/a,n/a,"The policy uses the ""city data"" test.",n/a,"""Data means final versions of statistical or factual information (1) in alphanumeric form reflected in a list table graph chart or other non-narrative form that can be digitally transmitted or processed; and (2) regularly created or maintained by or on behalf of and owned by an agency that records a measurement transaction or determination related to the mission of an agency. Such term shall not include information provided to an agency by other governmental entities nor shall it include image files such as designs drawings maps photos or scanned copies of original documents provided that it shall include statistical or factual information about such image files and shall include geographic information system data. Nothing in this chapter shall be deemed to prohibit an agency from voluntarily disclosing information not otherwise defined as ""data"" in this subdivision nor shall it be deemed to prohibit an agency from making such voluntarily disclosed information accessible through the single web portal established pursuant to section 23-502.""","""Public information hearings and votes accessible.""",n/a,Data means the final version of digital information:(a) (1)  in structured statistical or alphanumeric form (i.e. list table graph chart or other non-narrative form) that can be digitally transmitted or processed; or (2) in an unstructured factual or content form (i.e. fact sheet memorandum press release compliance guidance manual or other narrative form) that can be digitally transmitted or processed; and (b) regularly created or maintained by or on behalf of and owned by an agency that records file measurement transaction or [[determination]] final decision related to the mission of an agency. Data does not include any information provided to an agency by  another government entity; or any image file such as design drawing map photo or scanned copy of an original document. ,“Data” means final versions of statistical or factual information that (i) are in alphanumeric form reflected in a list table graph chart or other non-narrative form that can be digitally transmitted or processed; and (ii) are regularly created or maintained by or on behalf of a city agency and are controlled by such city agency; and (iii) record a measurement transaction or determination related to the mission of an agency. The term “data” shall not include information provided to an agency by other governmental entities or image files such as designs drawings photos or scanned copies of original documents; provided however that the term “data” shall include statistical or factual information about image files and geographic information system (GIS) data.  ,"""Data"" means final versions of statistical or factual information: 1. In alphanumeric form reflected in a list table graph chart or other non-narrative
form that can be digitally transmitted or processed; and 2. Regularly created or maintained by or on behalf of and owned by an agency that
records a measurement transaction or determination related to the mission of an agency. Such term shall not include information provided to an agency by
other governmental entities nor shall it include image files such as designs drawings maps photos or scanned copies of original documents. Nothing in
this ordinance shall be deemed to prohibit an agency from voluntarily disclosing information not otherwise defined as ""data"" in this subdivision.",n/a,“Data” shall mean final versions of statistical or factual information that (i) are in alphanumeric form reflected in a list table graph chart or other non-narrative form that can be digitally transmitted or processed; (ii) are regularly created or maintained by or on behalf of a covered State entity and are controlled by such entity; and (iii) record a measurement transaction or determination related to the mission of the covered State entity.  The term “data” shall not include image files such as designs drawings photos or scanned copies of original documents; provided however that the term “data” shall include statistical or factual information about image files and geographic information system data.  “Data set” means a named collection of related records maintained on a storage device with the collection containing data organized or formatted in a specific or prescribed way often in tabular form. “Data set” means a named collection of related records maintained on a storage device with the collection containing data organized or formatted in a specific or prescribed way often in tabular form.,"""Data"" means final versions of statistical or factual information:  (1)  In alphanumeric form reflected in a list table graph chart or other non-narrative form that can be digitally transmitted or processed; and (2)  Regularly created or maintained by or on behalf of and owned by an executive branch department that records a measurement transaction or determination related to the mission of that executive branch department. ""Data set"" means a named collection of related records on an electronic storage device with the collection containing individual data units organized or formatted in a specific and prescribed way often in tabular form and accessed by a specific access method that is based on the data set organization; provided that a data set shall not include any data that is protected from disclosure under applicable federal or state law or contract or data that is proprietary.",It includes data documents maps and other formats of media.,n/a,n/a,n/a,"Close fit: ""City Data"" is referred to throughout the policy without formally being defined. ","""Data"" means final versions of statistical or factual information that (i) are in alphanumeric form reflected in a list, table, graph, chart or other non-narrative form, that can be digitally transmitted or processed; and (ii) are regularly created or maintained by or on behalf of a city agency and are controlled by such city agency; and (iii) record a measurement, transaction or determination related to the mission of an agency. The term ""data"" shall not include information provided to an agency by other governmental entities or image files, such as designs, drawings, photos or scanned copies of original documents; provided, however, that the term ""data"" shall include statistical or factual information about image files and geographic information system (GIS) data."
"""Public Data/Information""",n/a,Enter into agreements with our regional partners to publish and maintain public datasets that are open and freely available while respecting privacy and security concerns as identified by the City Attorney.,n/a,n/a,n/a,n/a,"""Open Data"" is defined as proactively disclosing City Data; including limitations due to valid privacy security privilege statutory or administrative cost concerns. The policy sets a program for setting priorities of data sets a timeline for publication of data sets in each department a design for user friendly access of the data sets on the data portal and ongoing metrics to assess progress in disclosure.","""Public Data""","""Public data set"" means a comprehensive collection of interrelated data that is available for inspection by the public in accordance with any provision of law and is maintained on a computer system by or on behalf of an agency. Such term shall not include:*(1) any portion of such data set to which an agency may deny access pursuant to the public officers law or any other provision of a federal or state law rule or regulation or local law; (2) any data set that contains a significant amount of data to which an agency may deny access pursuant to the public officers law or any other provision of a federal or state law rule or regulation or local law and where removing such data would impose undue financial or administrative burden; (3) data that reflects the internal deliberative process of an agency or agencies including but not limited to negotiating positions future procurements or pending or reasonably anticipated legal or administrative proceedings.",n/a,n/a,Public data set means a comprehensive collection of interrelated data that is available for inspection by the public under any provision of law and is maintained on a computer system by or on behalf of an agency. Public data set does not include any portion of a data set that is not subject to disclosure under any Federal or State law including the Maryland Public Information Act.,“Public data” means any datum or data or data set published on the City of Chicago data portal.,"Public data set means a comprehensive collection of interrelated data that is available for inspection by the public in accordance with any provision of the Wisconsin Public Records Laws and the Madison Public Records Ordinance and is maintained on a computer system by or on behalf of an agency."" Then procedes to include a host of exemptions including proprietary materials data that would ""impose undue financial or administrative burden"" to strip of confidential material for release and data ""stored on an agency-owned personal computing device.",Public information means records of state or local government that are classified as public under Title 63G Chapter 2 Government Records Access and Management Act.,“Publishable State data” shall mean data that is collected by a covered State entity where the entity is permitted required or able to make the data available to the public consistent with any and all applicable laws rules regulations ordinances resolutions policies or other restrictions requirements or rights associated with the State data including but not limited to contractual or other legal orders restrictions or requirements.  Data shall not be Publishable State data if making such data available on the Open Data Website would violate statute or regulation (e.g. disclosure that would constitute an unwarranted invasion of personal privacy) endanger the public health safety or welfare hinder the operation of government including criminal and civil investigations or impose an undue financial operational or administrative burden on the covered State entity or State; ,n/a,n/a,n/a,"Public Data or Information means any data or information generated or received by the City of South Bend (the City) as defined by the Indiana Access to Public Records Act (APRA) at Ind. Code 5-14-3-2(n) which is fully disclosable under APRA or which the City has no discretion to refrain from disclosing under APRA at Ind. Code 5-14-3-4(b).
","Close fit. In the introductory language cites information controlled by the Public Records Act. ""WHEREAS, in commitment to the spirit of Open Government, Louisville Metro Government will consider public information to be open by default and will proactively publish data and data containing information, consistent with the Kentucky Open Meetings and Open Records Act; and""",n/a,"Close fit: Data sets requested via public records = a criteria for consideration. The relevant language: ""For purposes of identifying data sets for inclusion on the City of West Sacramento's data portal, The open data advisory group will consider the following: 
Whether the information embodied in the data set is reliable and accurate and is frequently the subject of a written request for public records and is of the type that is required to make available for inspection or copying;"""
"""Open Data""",,,,,n/a,,,,,,,,,,,,,,,Open Data or Information means public data or information made readily available online utilizing best practice structures and formats when possible.,"""Open Data"" means any public record as defined by the Kentucky Open Records Act, which could be made available online using Open Format data, as well as best practice Open Data structures and formats when possible. Open Data is not information that is treated exempt under KRS 61.878 by Metro Government.","Close fit: ""Open Data"" is referred to throughout the policy without formally being defined. ""RESOLVED, that the City of Oakland hereby establishes an Open Data Policy that the City shall make every reasonable effort to ensure that City Data is published in machine readable formats using prevailing open standards for data, documents, maps, and other formats of media for the purpose of making City Data available to the greatest number of users and for the greatest number of applications in a manner that is open and accessible to the public to be maintained in a catalog on a single City website ('Open Data'); and be it 
""
",n/a
APPLIED TO SUNLIGHT GUIDELINES,,,,,,,,,,,,,,,,,,,,,,,
What Data Should Be Public ,,,,,,,,,,,,,,,,,,,,,,,
1. Set the default to open. ,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"In the introductory language. ""WHEREAS, in commitment to the spirit of Open Government, Louisville Metro Government will consider public information to be open by default and will proactively publish data and data containing information, consistent with the Kentucky Open Meetings and Open Records Act; and""",,n/a
2. Reference and build on existing public accountability policies like Freedom of Information Laws Open Meetings Acts Open Records Acts Ethics Protections Campaign Finance and Lobbying Disclosure Laws.,n/a,n/a,"""Nothing in this directive shall be construed as encouraging the delay of meeting open records requests."" ""Whenever possible a properly submitted open records request should be filled as expeditiously as practicable."" ",n/a,,n/a,Cavaets to prior laws mentioned in the first open data principle: 1. The rules and standards for publication of data sets shall be consistent with applicable law AND Whereas language references citizens right to information aka FOI ,n/a,It does the opposite: Refers generally to federal state and local laws when defining exemptions to data disclosure.,n/a,n/a,n/a,It does the opposite: it utilizes FOI exemptions but not disclosure principles.,"It bases its definition of ""public data"" on both Wisconsins state and Madisons local public records laws and ordinences. ",n/a,It indicates that the Chief Data Officer should consult with the States legal and Freedom of Information Law offices as part of crafting guidance for the Open Data Website. ,"It mentions the Chief Information Officers ""State of Hawaii Business and Information Technology/Information Resource Management Transformation Plan"" and notes ""This Act is not intended to limit or expand a persons ability to access a public record under chapter 92F [Hawaii Revised Statutes the Uniform Information Practices Act]."" Further the policy draws on chapter 92F for disclosure compliance exempts the CIO from needing to address chapter 91 and notes that nothing will superscede chapter 27G.",n/a,n/a,"In the introductory language & Public Data defintion. ""WHEREAS, this Administration is committed to timely and consistent publication of data consistent with the Indiana Access to Public Records Act (APRA) which is essential to open and effective government; and"" and ""Public Data or Information means any data or information generated or received by the City of South Bend (the City) as defined by the Indiana Access to Public Records Act (APRA) at Ind. Code 5-14-3-2(n) which is fully disclosable under APRA or which the City has no discretion to refrain from disclosing under APRA at Ind. Code 5-14-3-4(b).""","Cites Kentucky Open Meetings and Open Records Act law in the introductory language and Open Data definition. ""WHEREAS, by publishing structured standardized data in machine readable formats the Louisville Metro Government seeks to encourage the local software community to develop software applications and tools to collect, organize, and share public record data in new and innovative ways; and WHEREAS, in commitment to the spirit of Open Government, Louisville Metro Government will consider public information to be open by default and will proactively publish data and data containing information, consistent with the Kentucky Open Meetings and Open Records Act; and"" and ""A) 'Open Data' means any public record as defined by the Kentucky Open Records Act, which could be made available online using Open Format data, as well as best practice Open Data structures and formats when possible. Open Data is not information that is treated exempt under KRS 61.878 by Metro Government.""",,n/a
3. Mandate the release of new government information.,A planned publication schedule is provided.,n/a,Outlines several datasets to be released.,"""Make reasonable efforts to make available all data sets under the Departments control."" (language is not binding)",,n/a,n/a,n/a,"Not in the Local Law 11. However the DoITT technical guidance created by Local Law 11 outlines the following: ""Open By Default: All public data sets must be considered open unless they contain information designated as sensitive private or confidential as defined by the Citywide Data Classification Policy or information that is exempt pursuant to the Public Officers Law or any other provision of a federal or state law rule or regulation or local law. The Agency submitting the data set is required to review its status and maintain currency with public disclosure requirements.""<http://nycopendata.pediacities.com/wiki/index.php/City_Policies>",n/a,n/a,n/a,"The policy calls for city agencies to publish ""all appropriate data sets and associated metadata under such agency’s control"" with caveats. ",Although the law does not require new data to be created it does specify that public data not currently disclosed to the standards of the policy be published on the open data portal. ,"It mentions release of information ""classified as public under Title 63G Chapter 2 Government Records Access and Management Act"" as well as records that related to finances ""are owned held or administered by the participating state or local entity that is required to provide the record; and (ii) is of the type or nature that should be accessible to the public via a website.""",The Guidance provided in the Open Data Handbook will help guide State entities through identifying and publishing  data including narrative data such as reports.,"It directs ""each executive branch department"" to use ""reasonable efforts to make appropriate and existing electronic data sets maintained by the department electronically available to the public through the States open data portal"" provided that ""nothing in this chapter shall require departments to create new electronic data sets or to make datasets available upond demand.""","It charges the city to ""identify potential opportunities to share select data"" and notes that the city ""shall establish the goal to work towrad an increased range and volume of data it shares.""",n/a,n/a,n/a,,n/a
4. Stipulate that provisions apply to contractors or quasi-governmental agencies.,n/a,n/a,n/a but does includes language on opening up some procurement info.,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"It requires the Chief Data Office to work with the procurement office to develop new contract provisions to ""promote open data policies in technology-related procurements"" which includes where appropriate requirements to post data to the city portal or make it available through other means.",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
5. Appropriately safeguard sensitive information.,"""Identify information that should be designated private on account of law or other privacy reasons and specify how it can be aggregated generalized or otherwise de-identified so it can be made public.""","""Enter into agreements with our regional partners to publish and maintain public datasets that are open and freely available while respecting privacy and security concerns as identified by the City Attorney."" ",n/a,"CDO and COIT to create standards to safeguard private data / ""Make data sets available provided that such disclosure is consistent with the Citys Open Data Policy technical standards and with applicable law including laws related to privacy."" / Instructs city departments that ""Data prioritized for publication should be of likely interest to the public and should not disclose information that is proprietary confidential protected by law or contract."" ",,"""Develop agreements with regional partners to publish and maintain public data sets that are open and freely available while respecting privacy and security concerns."" ","""All published data sets shall be in primary forms as collected at the source with a level of granularity consistent with law privacy and public safety. Only minimal necessary filtering and aggregation will be used to mitigate identified legal privacy or public safety issues""",n/a,Specifies extensive overreaching exemptions to the definition of Public Data sets including but not limited to: standard FOI exemption data that reflects the internal deliberative process data stored on an agency-owned personal computing device and materials subject to copyright patent trademark confidentiality agreements or trade secret protection. ,n/a,"""Nothing in this Order shall be construed to supersede existing requirements for review and clearance of information exempt from disclosure under the Pennsylvania Right to Know Act and other applicable laws regulations or judicial orders."" ",The Chief Administrator must not include on the web portal any electronic mail address home address or telephone number of any individual who submitted a responsive document. ,"It extends protections of FOI exemptions as part of a thorough definition of  ""protected"" data. ","It highlights confidential material as exempted from definitions of ""public data"" but the list of exemptions is potentially overbroad. It has many other related notes on exemptions such as ""the City shall not make available under
this ordinance any data or data set the release of which would endanger an individual’s
life or safety."" ","It notes that selection of data formats and recommendations for data disclosure will ""minimize limitations on the disclosure of public information while appropriately safeguarding sensitive information.""",n/a,"It does not require the publishing of ""personally identifiable information information that may pose a personal or public security risk is of minimal public interest or is otherwise in appropriate for online disclosure as part of a data set."" It also stipulates that ""Proprietary and other information protected from disclosure by law or contract shall not be disclosed.""","It notes that in the pursuit of increasing the range and volume of data released they will respect ""privacy and security concerns as identified by the City Attorney.""",n/a,"Within Records Act constraints, otherwise no mention. ","Within Records Act constraints, otherwise no mention. ",,"A close fit in the introductory language and in the Protected Data definition: ""Open and Accessible Data - the City of West Sacramento will freely share the greatest amount of data possible with citizens, businesses and other jurisdictions while respecting privacy and security concerns; and ""'Protected data' means any data set or portion thereof to which the city may deny access pursuant to any applicable law regarding said data set. """
6. Require exemptions to be balance-tested against the public interest.,n/a,n/a,n/a,"Close fit: it balances against ""benefits of open data"" which could be construed as public benefit. ",,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"n/a
",n/a,"It states factors ""in favor of excluding public information from an information website"" will be balanced against the public interest in having the information available online. ","The Open Data Handbook will ""provide guidelines for identifying and reviewing publishable State data by covered State entities before publication.""
","It does the opposite and notes that being of ""minimal public interest"" will be a reason not to disclose information.  ",n/a,"Does the opposite: ""(b) Use open standards unless specific project requirements or excessive cost preclude use of an open data format.""",n/a,n/a,,n/a
7. Require code sharing or publishing.,n/a,"Primarily this policy outlines the city of Portlands interest in utilizing open source software and providing its local technology community with opportunities to flourish. The closest it comes to defining how the city government will behave with its own code is that ""Open Source Software can enable the City of Portland to use copy customize and redistribute software it deploys for government services"" with no mandate for activity.",n/a,n/a,,n/a,No mention of publishing code but adds guidelines to the procurment process to promote open source encouraged.,"No mention of publishing code but encourages open source software in procurement: ""the City of Raleigh Information Technology department will establish an open systems procurement policy that will include specifications in future Requests for Proposals (RFP) to encourage technology solutions with an open source licensing model which store and expose public data using industry-standard and open protocols""",n/a,n/a,n/a,n/a,"n/a
",n/a,n/a,n/a,n/a,"It endorses a principle of looking for open source software when replacing existing software during procurement cycles; seeks to create and adopt a specific ""open source policy"" approval process and to explore sharing applications develeoped by the city with the public.","It is also an Open Software bill and defines open software as: ""I-a. “Open source software” means software that guarantees the user: (a) Unrestricted use of the software for any purpose; (b) Unrestricted access to the respective source code; (c) [Exhaustive] Unlimited inspection of the working mechanisms of the software; (d) Use of the internal mechanisms and arbitrary portions of the software to adapt them to the needs of the user; (e) [Freedom] The right to make and distribute copies of the software; and (f) [Modification of the software and freedom] The right to modify the software and to distribute modifications of the new resulting software under the same license as the original software.""",n/a,n/a,,n/a
How to Make Data Public ,,,,,,,,,,,,,,,,,,,,,,,
